Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
wool-tweed-newsboy-cap-for-men,Wool Tweed Newsboy Cap for Men,<p>Peaky blinder inspired cap for the hipster inside you!</p>,johnvincentio,Hipster hat,Hipster,true,Hat Size,62-63 cm,,,,,36538009-blue-62-63-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194141.jpg?v=1590798406,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,60-61 cm,,,,,36538009-blue-60-61-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,58-59 cm,,,,,36538009-blue-58-59-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
wool-tweed-newsboy-cap-for-men,,,,,,,,56-57 cm,,,,,36538009-blue-56-57-cm,0.0,shopify,deny,oberlo,53.98,53.98,true,false,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1390194152.jpg?v=1590798408,lb,,
mens-fedora,Men's fedora,Fedoras are back in! Get this straw fedora for men and stand out from the crowd this summer.,johnvincentio,Summer hat,"",true,Color,Khaki,,,,,34088347-khaki-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1264330798.jpg?v=1586080094,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981765.jpg?v=1586080097,lb,,
mens-fedora,,,,,,,,Magnolia,,,,,34088347-magnolia-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981766.jpg?v=1586080096,2,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981766.jpg?v=1586080096,lb,,
mens-fedora,,,,,,,,Black,,,,,34088347-black-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981765.jpg?v=1586080097,3,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981763.jpg?v=1586080098,lb,,
mens-fedora,,,,,,,,Gray,,,,,34088347-gray-60-62cm,0.0,shopify,deny,oberlo,24.42,24.42,true,false,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981763.jpg?v=1586080098,4,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981764.jpg?v=1586080104,lb,,
mens-fedora,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1332981764.jpg?v=1586080104,5,,,,,,,,,,,,,,,,,,,,,
3-part-knitted-wool-cap,3-part Knitted Wool Cap,3 part full face knitted wool cap. Perfect for winter!,johnvincentio,Winter hat,Winter,true,Color,Black,,,,,28986468-black,0.0,shopify,deny,oberlo,5.00,18.26,true,false,"",https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651730.jpg?v=1586080092,1,,false,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0259/7522/6422/products/product-image-1338651736.jpg?v=1586080093,lb,,
